🔋 蔡氏📡央 视📡,#genre#
浙江卫视HD,http://107.150.60.122/live/zjwshd.m3u8
CCTV-央视文化精品,http://107.150.60.122/live/ysjp.m3u8
CCTV-卫生健康,http://107.150.60.122/live/wsjk.m3u8
广东新闻,http://107.150.60.122/live/gdxw.m3u8
广东新闻,http://107.150.60.122/live/gdxwa.m3u8
广东珠江,http://107.150.60.122/live/gdzja.m3u8
广东珠江,http://107.150.60.122/live/gdzj.m3u8
广东少儿,http://107.150.60.122/live/gdtvs5.m3u8
广东体育,http://107.150.60.122/live/gdty.m3u8
广东民生,http://107.150.60.122/live/gdgg.m3u8
广西影视,http://107.150.60.122/live/gxys.m3u8
广西综艺旅游,http://107.150.60.122/live/gxzy.m3u8
广西都市,http://107.150.60.122/live/gxds.m3u8
广西新闻,http://107.150.60.122/live/gxxw.m3u8
广西国际,http://107.150.60.122/live/gxgj.m3u8
湖南娱乐,http://107.150.60.122/live/hnyl.m3u8
湖南教育,http://107.150.60.122/live/hnjy.m3u8
江西新闻频道,http://107.150.60.122/live/jxtv7.m3u8
成龙电影,http://107.150.60.122/live/lbcl.m3u8
周星驰电影,http://107.150.60.122/live/lbzxc.m3u8
林正英影院,http://107.150.60.122/live/lblzy.m3u8
CHC动作电影,http://192.151.150.154/live/chcdz.m3u8
CHC影迷电影,http://192.151.150.154/live/chchd.m3u8
CHC家庭影院,http://192.151.150.154/live/chcjt.m3u8
重温经典,http://192.151.150.154/live/cwjd.m3u8
CCTV-电视指南,http://192.151.150.154/live/dszn.m3u8
CCTV-第一剧场,http://192.151.150.154/live/dyjc.m3u8
CCTV-风云剧场,http://192.151.150.154/live/fyjc.m3u8
CCTV-风云音乐,http://192.151.150.154/live/fyyy.m3u8
CCTV-风云足球,http://192.151.150.154/live/fyzq.m3u8
CCTV-高尔夫网球,http://192.151.150.154/live/gefwq.m3u8
CCTV-兵器科技,http://192.151.150.154/live/gfjs.m3u8
CCTV-世界地理,http://192.151.150.154/live/sjdl.m3u8
CCTV-怀旧剧场,http://192.151.150.154/live/hjjc.m3u8
CCTV-央视台球,http://192.151.150.154/live/ystq.m3u8
天元围棋,http://192.151.150.154/live/gztywq.m3u8
北京卡酷少儿,http://192.151.150.154/live/btvkk.m3u8
北京卫视HD,http://192.151.150.154/live/bjwshd.m3u8
重庆卫视HD,http://192.151.150.154/live/cqwshd.m3u8
大湾区卫视(国际版),http://192.151.150.154/live/gdgj.m3u8
广东卫视HD,http://192.151.150.154/live/gdwshd.m3u8
广西卫视HD,http://192.151.150.154/live/gxwshd.m3u8
贵州卫视HD,http://192.151.150.154/live/gzwshd.m3u8
河南卫视HD,http://192.151.150.154/live/hawshd.m3u8
湖北卫视HD,http://192.151.150.154/live/hbwshd.m3u8
河北卫视HD,http://192.151.150.154/live/hewshd.m3u8
黑龙江卫视HD,http://192.151.150.154/live/hljwshd.m3u8
湖南卫视HD,http://192.151.150.154/live/hnwshd.m3u8
辽宁卫视HD,http://192.151.150.154/live/lnwshd.m3u8
内蒙古卫视,http://192.151.150.154/live/nmgws.m3u8
宁夏卫视,http://192.151.150.154/live/nxws.m3u8
青海卫视,http://192.151.150.154/live/qhws.m3u8
四川卫视HD,http://192.151.150.154/live/scwshd.m3u8
山东卫视HD,http://192.151.150.154/live/sdwshd.m3u8
陕西卫视HD,http://192.151.150.154/live/snwshd.m3u8
三沙卫视,http://192.151.150.154/live/ssws.m3u8
山西卫视HD,http://192.151.150.154/live/sxwshd.m3u8
天津卫视HD,http://192.151.150.154/live/tjwshd.m3u8
新疆卫视,http://192.151.150.154/live/xjws.m3u8
云南卫视HD,http://192.151.150.154/live/ynwshd.m3u8
CCTV-央视文化精品,http://192.151.150.154/live/ysjp.m3u8
广东新闻,http://192.151.150.154/live/gdxwa.m3u8
广东珠江,http://192.151.150.154/live/gdzja.m3u8
广东珠江,http://192.151.150.154/live/gdzj.m3u8
广东少儿,http://192.151.150.154/live/gdtvs5.m3u8
广东体育,http://192.151.150.154/live/gdty.m3u8
广东民生,http://192.151.150.154/live/gdgg.m3u8
广西影视,http://192.151.150.154/live/gxys.m3u8
广西综艺旅游,http://192.151.150.154/live/gxzy.m3u8
广西都市,http://192.151.150.154/live/gxds.m3u8
广西新闻,http://192.151.150.154/live/gxxw.m3u8
广西国际,http://192.151.150.154/live/gxgj.m3u8
湖南娱乐,http://192.151.150.154/live/hnyl.m3u8
湖南教育,http://192.151.150.154/live/hnjy.m3u8
江西新闻频道,http://192.151.150.154/live/jxtv7.m3u8
成龙电影,http://192.151.150.154/live/lbcl.m3u8
周星驰电影,http://192.151.150.154/live/lbzxc.m3u8
林正英影院,http://192.151.150.154/live/lblzy.m3u8
CHC动作电影,http://198.204.228.26/live/chcdz.m3u8
CHC影迷电影,http://198.204.228.26/live/chchd.m3u8
CHC家庭影院,http://198.204.228.26/live/chcjt.m3u8
重温经典,http://198.204.228.26/live/cwjd.m3u8
天元围棋,http://198.204.228.26/live/gztywq.m3u8
北京纪实科教,http://198.204.228.26/live/btv3.m3u8
北京卡酷少儿,http://198.204.228.26/live/btvkk.m3u8
安徽卫视HD,http://198.204.228.26/live/ahwshd.m3u8
北京卫视HD,http://198.204.228.26/live/bjwshd.m3u8
重庆卫视HD,http://198.204.228.26/live/cqwshd.m3u8
大湾区卫视(国际版),http://198.204.228.26/live/gdgj.m3u8
东南卫视HD,http://198.204.228.26/live/dnwshd.m3u8
广东卫视HD,http://198.204.228.26/live/gdwshd.m3u8
贵州卫视HD,http://198.204.228.26/live/gzwshd.m3u8
河南卫视HD,http://198.204.228.26/live/hawshd.m3u8
湖北卫视HD,http://198.204.228.26/live/hbwshd.m3u8
河北卫视HD,http://198.204.228.26/live/hewshd.m3u8
黑龙江卫视HD,http://198.204.228.26/live/hljwshd.m3u8
吉林卫视HD,http://198.204.228.26/live/jlwshd.m3u8
江苏卫视HD,http://198.204.228.26/live/jswshd.m3u8
江西卫视HD,http://198.204.228.26/live/jxwshd.m3u8
辽宁卫视HD,http://198.204.228.26/live/lnwshd.m3u8
内蒙古卫视,http://198.204.228.26/live/nmgws.m3u8
四川卫视HD,http://198.204.228.26/live/scwshd.m3u8
山东卫视HD,http://198.204.228.26/live/sdwshd.m3u8
三沙卫视,http://198.204.228.26/live/ssws.m3u8
深圳卫视HD,http://198.204.228.26/live/szwshd.m3u8
天津卫视HD,http://198.204.228.26/live/tjwshd.m3u8
新疆卫视,http://198.204.228.26/live/xjws.m3u8
浙江卫视HD,http://198.204.228.26/live/zjwshd.m3u8
CCTV-央视文化精品,http://198.204.228.26/live/ysjp.m3u8
广东新闻,http://198.204.228.26/live/gdxw.m3u8
广东新闻,http://198.204.228.26/live/gdxwa.m3u8
广东珠江,http://198.204.228.26/live/gdzja.m3u8
广东珠江,http://198.204.228.26/live/gdzj.m3u8
广东少儿,http://198.204.228.26/live/gdtvs5.m3u8
广东体育,http://198.204.228.26/live/gdty.m3u8
广东民生,http://198.204.228.26/live/gdgg.m3u8
广西影视,http://198.204.228.26/live/gxys.m3u8
广西综艺旅游,http://198.204.228.26/live/gxzy.m3u8
广西都市,http://198.204.228.26/live/gxds.m3u8
广西新闻,http://198.204.228.26/live/gxxw.m3u8
广西国际,http://198.204.228.26/live/gxgj.m3u8
湖南娱乐,http://198.204.228.26/live/hnyl.m3u8
湖南教育,http://198.204.228.26/live/hnjy.m3u8
江西新闻频道,http://198.204.228.26/live/jxtv7.m3u8
成龙电影,http://198.204.228.26/live/lbcl.m3u8
周星驰电影,http://198.204.228.26/live/lbzxc.m3u8
林正英影院,http://198.204.228.26/live/lblzy.m3u8
CCTV-1,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8
CCTV-2,http://bztv.tvbus.cc:8081/cdnlive/cctv2.m3u8
CCTV-3,http://bztv.tvbus.cc:8081/cdnlive/cctv3.m3u8
CCTV-4,http://bztv.tvbus.cc:8081/cdnlive/cctv4.m3u8
CCTV-5,http://bztv.tvbus.cc:8081/cdnlive/cctv5.m3u8
CCTV-6,http://bztv.tvbus.cc:8081/cdnlive/cctv6.m3u8
CCTV-7,http://bztv.tvbus.cc:8081/cdnlive/cctv7.m3u8
CCTV-8,http://bztv.tvbus.cc:8081/cdnlive/cctv8.m3u8
CCTV-9,http://bztv.tvbus.cc:8081/cdnlive/cctv9.m3u8
CCTV-11,http://bztv.tvbus.cc:8081/cdnlive/cctv11.m3u8
CCTV-12,http://bztv.tvbus.cc:8081/cdnlive/cctv12.m3u8
CCTV-13,http://bztv.tvbus.cc:8081/cdnlive/cctv13.m3u8
CCTV-14,http://bztv.tvbus.cc:8081/cdnlive/cctv14.m3u8
CCTV-15,http://bztv.tvbus.cc:8081/cdnlive/cctv15.m3u8
CCTV-5+,http://bztv.tvbus.cc:8081/cdnlive/cctv5p.m3u8
CCTV-电视指南,http://bztv.tvbus.cc:8081/cdnlive/dszn.m3u8
CCTV-第一剧场,http://bztv.tvbus.cc:8081/cdnlive/dyjc.m3u8
CCTV-风云剧场,http://bztv.tvbus.cc:8081/cdnlive/fyjc.m3u8
CCTV-风云音乐,http://bztv.tvbus.cc:8081/cdnlive/fyyy.m3u8
CCTV-风云足球,http://bztv.tvbus.cc:8081/cdnlive/fyzq.m3u8
CCTV-高尔夫网球,http://bztv.tvbus.cc:8081/cdnlive/gefwq.m3u8
CCTV-兵器科技,http://bztv.tvbus.cc:8081/cdnlive/gfjs.m3u8
CCTV-世界地理,http://bztv.tvbus.cc:8081/cdnlive/sjdl.m3u8
CCTV-怀旧剧场,http://bztv.tvbus.cc:8081/cdnlive/hjjc.m3u8
CCTV-央视台球,http://bztv.tvbus.cc:8081/cdnlive/ystq.m3u8
CCTV-央视文化精品,http://bztv.tvbus.cc:8081/cdnlive/ysjp.m3u8
安徽卫视,http://bztv.tvbus.cc:8081/cdnlive/ahws.m3u8
北京卫视,http://bztv.tvbus.cc:8081/cdnlive/bjws.m3u8
重庆卫视,http://bztv.tvbus.cc:8081/cdnlive/cqws.m3u8
东南卫视,http://bztv.tvbus.cc:8081/cdnlive/dnws.m3u8
广西卫视,http://bztv.tvbus.cc:8081/cdnlive/gxws.m3u8
贵州卫视,http://bztv.tvbus.cc:8081/cdnlive/gzws.m3u8
湖北卫视,http://bztv.tvbus.cc:8081/cdnlive/hbws.m3u8
黑龙江卫视,http://bztv.tvbus.cc:8081/cdnlive/hljws.m3u8
湖南卫视,http://bztv.tvbus.cc:8081/cdnlive/hnws.m3u8
江苏卫视,http://bztv.tvbus.cc:8081/cdnlive/jsws.m3u8
江西卫视,http://bztv.tvbus.cc:8081/cdnlive/jxws.m3u8
辽宁卫视,http://bztv.tvbus.cc:8081/cdnlive/lnws.m3u8
山东卫视,http://bztv.tvbus.cc:8081/cdnlive/sdws.m3u8
山西卫视,http://bztv.tvbus.cc:8081/cdnlive/sxws.m3u8
天津卫视,http://bztv.tvbus.cc:8081/cdnlive/tjws.m3u8
新疆卫视,http://bztv.tvbus.cc:8081/cdnlive/xjws.m3u8
浙江卫视,http://bztv.tvbus.cc:8081/cdnlive/zjws.m3u8
CCTV-1综合,http://173.208.212.130:8181/720p/cctv1.m3u8
CCTV-2财经,http://173.208.212.130:8181/720p/cctv2.m3u8
CCTV-3综艺,http://173.208.212.130:8181/720p/cctv3.m3u8
CCTV-4中文国际,http://173.208.212.130:8181/720p/cctv4.m3u8
CCTV-5体育,http://173.208.212.130:8181/720p/cctv5.m3u8
CCTV-6电影,http://173.208.212.130:8181/720p/cctv6.m3u8
CCTV-8电视剧,http://173.208.212.130:8181/720p/cctv8.m3u8
CCTV-9纪录,http://173.208.212.130:8181/720p/cctv9.m3u8
CCTV-11戏曲,http://173.208.212.130:8181/720p/cctv11.m3u8
CCTV-12社会与法,http://173.208.212.130:8181/720p/cctv12.m3u8
CCTV-13新闻,http://173.208.212.130:8181/720p/cctv13.m3u8
CCTV-14少儿,http://173.208.212.130:8181/720p/cctv14.m3u8
CCTV-15音乐,http://173.208.212.130:8181/720p/cctv15.m3u8
CCTV-16奥林匹克,http://173.208.212.130:8181/720p/cctv16.m3u8
CCTV-5+HD,http://173.208.212.130:8181/720p/cctv5p.m3u8
CCTV-第一剧场,http://173.208.212.130:8181/720p/dyjc.m3u8
CCTV-风云剧场,http://173.208.212.130:8181/720p/fyjc.m3u8
CCTV-怀旧剧场,http://173.208.212.130:8181/720p/hjjc.m3u8
CCTV-兵器科技,http://173.208.212.130:8181/720p/gfjs.m3u8
CCTV-世界地理,http://173.208.212.130:8181/720p/sjdl.m3u8
CCTV-卫生健康,http://173.208.212.130:8181/720p/wsjk.m3u8
CCTV-央视文化精品,http://173.208.212.130:8181/720p/ysjp.m3u8
CCTV-风云音乐,http://173.208.212.130:8181/720p/fyyy.m3u8
CCTV-央视台球,http://173.208.212.130:8181/720p/ystq.m3u8
CCTV-风云足球,http://173.208.212.130:8181/720p/fyzq.m3u8
CCTV-高尔夫网球,http://173.208.212.130:8181/720p/gefwq.m3u8
CCTV-1综合,http://173.208.212.130:8181/1080p/cctv1.m3u8
CCTV-2财经,http://173.208.212.130:8181/1080p/cctv2.m3u8
CCTV-3综艺,http://173.208.212.130:8181/1080p/cctv3.m3u8
CCTV-4中文国际,http://173.208.212.130:8181/1080p/cctv4.m3u8
CCTV-5体育,http://173.208.212.130:8181/1080p/cctv5.m3u8
CCTV-6电影,http://173.208.212.130:8181/1080p/cctv6.m3u8
CCTV-7国防军事,http://173.208.212.130:8181/1080p/cctv7.m3u8
CCTV-8电视剧,http://173.208.212.130:8181/1080p/cctv8.m3u8
CCTV-10科教,http://173.208.212.130:8181/1080p/cctv10.m3u8
CCTV-11戏曲,http://173.208.212.130:8181/1080p/cctv11.m3u8
CCTV-12社会与法,http://173.208.212.130:8181/1080p/cctv12.m3u8
CCTV-13新闻,http://173.208.212.130:8181/1080p/cctv13.m3u8
CCTV-14少儿,http://173.208.212.130:8181/1080p/cctv14.m3u8
CCTV-15音乐,http://173.208.212.130:8181/1080p/cctv15.m3u8
CCTV-16奥林匹克,http://173.208.212.130:8181/1080p/cctv16.m3u8
CCTV-17农业农村,http://173.208.212.130:8181/1080p/cctv17.m3u8
CCTV-5+HD,http://173.208.212.130:8181/1080p/cctv5p.m3u8
湖南卫视,http://173.208.212.130:8181/720p/hnws.m3u8
湖南卫视,http://173.208.212.130:8181/1080p/hnws.m3u8
河北卫视,http://173.208.212.130:8181/720p/hews.m3u8
山东卫视,http://173.208.212.130:8181/720p/sdws.m3u8
天津卫视,http://173.208.212.130:8181/720p/tjws.m3u8
深圳卫视,http://173.208.212.130:8181/720p/szws.m3u8
安徽卫视,http://173.208.212.130:8181/720p/ahws.m3u8
北京卫视,http://173.208.212.130:8181/720p/bjws.m3u8
广东卫视,http://173.208.212.130:8181/720p/gdws.m3u8
江苏卫视,http://173.208.212.130:8181/720p/jsws.m3u8
江苏卫视,http://173.208.212.130:8181/1080p/jsws.m3u8
浙江卫视,http://173.208.212.130:8181/720p/zjws.m3u8
🔋 蔡氏🇭🇰港 台🇹🇼,#genre#

唐人卫视频道,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8
无线新闻台国际版,https://php.946985.filegear-sg.me/tvbnews.php?id=inews
无线新闻台,https://php.946985.filegear-sg.me/tvbnews.php?id=c
凤凰资讯,http://c.123.rr.kg/163189/fhzx
凤凰中文,http://c.123.rr.kg/163189/fhzw
凤凰卫视香港台,http://c.123.rr.kg/163189/fhhk
翡翠台,http://c.123.rr.kg/163189/fct
翡翠台,http://c.123.rr.kg/163189/jade
无线新闻台,http://c.123.rr.kg/163189/wxxw
HOYTV,http://c.123.rr.kg/163189/hoy
TVBJADE(高清),http://c.123.rr.kg/163189/hlfct
TVB功夫台,http://c.123.rr.kg/163189/yzwx
TVB娱乐新闻台,http://c.123.rr.kg/163189/ylxw
无线新闻台,http://c.123.rr.kg/163189/wxxwt
TVB星河,http://c.123.rr.kg/163189/tvbxh
翡翠一台(TVB1),http://c.123.rr.kg/163189/tvb1
TVB翡翠综合台(TVBJ1),http://c.123.rr.kg/163189/j1
TVB翡翠台(TVBDRAMA),http://c.123.rr.kg/163189/tvbd
🔋 蔡氏🇭🇰港,#genre#,DE=3

翡翠台4K(字幕),https://cdn3.indevs.in/stream/tvb/fct4k/
凤凰中文,https://cdn6.cc.cd/163189/fhzw
CCTV1港澳版,https://cdn6.cc.cd/163189/cctv1
CCTV13,https://10.fast.hidns.vip/163189/cctv13/
TVB Plus(字幕),https://cdn3.indevs.in/stream/tvb/tvbp/
HOY TV,https://cdn6.cc.cd/163189/hoy
HOY TV,https://fast.hidns.vip/163189/hoy
HOY资讯台,https://fast.hidns.vip/163189/hoy78
HOY国际财经台,https://cdn11.163189.xyz/163189/hoy76
ViuTV,https://10.fast.hidns.vip/163189/viu/
ViuTVsix,https://10.fast.hidns.vip/163189/viu6/
NOW新闻台,https://fast.hidns.vip/163189/now
RTHK31,https://fast.hidns.vip/163189/rthk31
RTHK32,https://fast.hidns.vip/163189/rthk32
澳视澳门,https://cdn6.cc.cd/163189/asam
澳视卫星,https://cdn6.cc.cd/163189/as
澳门体育,https://cdn6.cc.cd/163189/amty
澳门综艺,https://cdn6.cc.cd/163189/amzy
澳门莲花,https://cdn6.cc.cd/163189/amlh
重温经典,https://cdn6.cc.cd/163189/cwjd
凤凰资讯,https://cdn6.cc.cd/163189/fhzx
凤凰香港,https://cdn6.cc.cd/163189/fhhk
TVB1,https://cdn6.cc.cd/163189/tvb1
TVBJ1,https://cdn6.cc.cd/163189/j1
翡翠剧集台,https://cdn6.cc.cd/163189/tvbd
翡翠台,https://cdn6.cc.cd/163189/fct
翡翠台(字幕),https://cdn3.indevs.in/stream/tvb/fct/
明珠台(字幕),https://cdn3.indevs.in/stream/tvb/mzt/
无线新闻台,https://cdn6.cc.cd/163189/wxxw
广东珠江,https://2.fast.hidns.vip/163189/gdzj
广东体育,https://2.fast.hidns.vip/163189/gdty
八度空间,https://cdn6.cc.cd/163189/8tv
CH5,https://cdn6.cc.cd/163189/ch5
CH8,https://cdn6.cc.cd/163189/ch8
CHU,https://cdn6.cc.cd/163189/chu
龙华电影,https://8.fast.hidns.vip/163189/lhdy
龙华经典,https://8.fast.hidns.vip/163189/lhjd
龙华偶像,https://8.fast.hidns.vip/163189/lhox
龙华日韩,https://8.fast.hidns.vip/163189/lhrh
龙华戏剧,https://8.fast.hidns.vip/163189/lhxj
龙华洋片,https://8.fast.hidns.vip/163189/lhyp
龙华卡通,https://8.fast.hidns.vip/163189/lhkt
金光布袋戏,https://cdn3.indevs.in/stream/live/jgbdx/
华丽翡翠台,https://cdn6.cc.cd/163189/hlfct
TVB亚洲武侠,https://cdn6.cc.cd/163189/yzwx
TVB娱乐新闻台,https://cdn6.cc.cd/163189/ylxw
无线新闻台,https://cdn6.cc.cd/163189/wxxwt
TVB星河,https://cdn6.cc.cd/163189/tvbxh
海峡卫视,https://10.fast.hidns.vip/163189/hxws/
海峡卫视,https://168.sryze.cc/163189/hxws
TVB星河,https://10.fast.hidns.vip/163189/xinghe/
天映新加坡,https://10.fast.hidns.vip/163189/typd/
天映经典,https://10.fast.hidns.vip/163189/ccm/
华丽翡翠台,https://cdn3.indevs.in/stream/live/hlt/
华丽翡翠台(硬字幕),https://cdn6.cc.cd/163189/jade
华丽翡翠台(新加坡),https://cdn3.indevs.in/stream/live/jade/
Astro AOD,https://cdn3.indevs.in/stream/live/aod/
Astro AEC,https://cdn3.indevs.in/stream/live/aec/
Astro QJ,https://cdn3.indevs.in/stream/live/qj/
Astro欢喜台,https://cdn3.indevs.in/stream/live/hxt/
爱奇艺,https://cdn3.indevs.in/stream/live/iqiyi/
天映频道,https://cdn3.indevs.in/stream/live/typd/
天映经典,https://cdn3.indevs.in/stream/live/ccm/
TVB星河,https://cdn3.indevs.in/stream/live/tvbxh/
千禧经典台,https://cdn3.indevs.in/stream/live/tvbc/
翡翠台(WebVTT字幕),https://10.fast.hidns.vip/163189/fct/
明珠台(WebVTT字幕),https://10.fast.hidns.vip/163189/mzt/
TVB Plus(WebVTT字幕),https://10.fast.hidns.vip/163189/tvbp/
黄金华剧台(WebVTT字幕),https://10.fast.hidns.vip/163189/hjhjt/
重温经典,https://168.sryze.cc/163189/cwjd
广州综合,https://168.sryze.cc/163189/gzzh
广州新闻,https://168.sryze.cc/163189/gzxw
广州南国都市,https://cdn15.163189.xyz/163189/ngds
五星体育,https://cdn15.163189.xyz/163189/wxty
民视影剧台,https://cdn12.178.indevs.in/163189/msyj
公视戏剧,https://cdn12.178.indevs.in/163189/gsxj
采昌影剧台,https://cdn12.178.indevs.in/163189/ccyj
靖天映画,https://cdn12.178.indevs.in/163189/jtyh
靖天戏剧台,https://cdn12.178.indevs.in/163189/jtxj
靖天电影台,https://cdn12.178.indevs.in/163189/jtdy
靖洋戏剧台,https://cdn12.178.indevs.in/163189/jyxj
